Date,Type,Symbol,Security,Shares,Quote,Amount,Fees,Taxes,Net Transaction Value,Account,Offset Account,Note
2026-05-14 00:00:00,Sell,6187.TWO,萬潤,5,"1,140.00","5,700.00",8.00,17.00,"5,675.00",永豐大戶投,永豐台中分行,
2026-05-14 00:00:00,Sell,6442.TW,光聖,3,"1,825.00","5,475.00",7.00,16.00,"5,452.00",永豐大戶投,永豐台中分行,
2026-05-14 00:00:00,Buy,2480.TW,敦陽科,30,151.00,"4,530.00",6.00,,"4,536.00",永豐大戶投,永豐台中分行,
2026-05-14 00:00:00,Sell,3653.TW,健策,1,"3,405.00","3,405.00",4.00,10.00,"3,391.00",永豐大戶投,永豐台中分行,
2026-05-14 00:00:00,Buy,8299.TWO,群聯,1,"2,870.00","2,870.00",4.00,,"2,874.00",永豐大戶投,永豐台中分行,
2026-05-14 00:00:00,Sell,6187.TWO,萬潤,2,"1,165.00","2,330.00",3.00,6.00,"2,321.00",永豐大戶投,永豐台中分行,
2026-05-14 00:00:00,Sell,6187.TWO,萬潤,2,"1,150.00","2,300.00",3.00,6.00,"2,291.00",永豐大戶投,永豐台中分行,
2026-05-14 00:00:00,Dividend,AAPL,Apple Inc.,7,,USD 1.89,USD 0.57,,USD 1.32,Firstrade,,
2026-05-13 00:00:00,Buy,3583.TW,辛耘,6,949.00,"5,694.00",8.00,,"5,702.00",永豐大戶投,永豐台中分行,
2026-05-13 00:00:00,Sell,6223.TWO,旺矽,1,"5,530.00","5,530.00",7.00,16.00,"5,507.00",永豐大戶投,永豐台中分行,
2026-05-13 00:00:00,Sell,6442.TW,光聖,3,"1,790.00","5,370.00",7.00,16.00,"5,347.00",永豐大戶投,永豐台中分行,
2026-05-13 00:00:00,Sell,6442.TW,光聖,3,"1,770.00","5,310.00",7.00,15.00,"5,288.00",永豐大戶投,永豐台中分行,
2026-05-13 00:00:00,Buy,7734.TWO,印能科技,1,"4,325.00","4,325.00",6.00,,"4,331.00",永豐大戶投,永豐台中分行,
2026-05-13 00:00:00,Buy,2492.TW,華新科,20,199.00,"3,980.00",5.00,,"3,985.00",永豐大戶投,永豐台中分行,
2026-05-13 00:00:00,Buy,2467.TW,志聖,5,630.00,"3,150.00",4.00,,"3,154.00",永豐大戶投,永豐台中分行,
2026-05-13 00:00:00,Buy,8027.TWO,鈦昇,10,252.50,"2,525.00",3.00,,"2,528.00",永豐大戶投,永豐台中分行,
2026-05-13 00:00:00,Buy,SOL-USD,Solana USD,0.08269811,USD 96.74,USD 8.00,,,USD 8.00,Binance,Binance,
2026-05-12 00:00:00,Buy,3583.TW,辛耘,12,885.00,"10,620.00",15.00,,"10,635.00",永豐大戶投,永豐台中分行,
2026-05-12 00:00:00,Buy,2467.TW,志聖,10,627.00,"6,270.00",8.00,,"6,278.00",永豐大戶投,永豐台中分行,
2026-05-12 00:00:00,Buy,8027.TWO,鈦昇,25,240.00,"6,000.00",8.00,,"6,008.00",永豐大戶投,永豐台中分行,
2026-05-12 00:00:00,Buy,8027.TWO,鈦昇,25,238.50,"5,962.50",8.00,,"5,970.50",永豐大戶投,永豐台中分行,
2026-05-12 00:00:00,Buy,8027.TWO,鈦昇,25,234.50,"5,862.50",8.00,,"5,870.50",永豐大戶投,永豐台中分行,
2026-05-12 00:00:00,Buy,2492.TW,華新科,30,173.00,"5,190.00",7.00,,"5,197.00",永豐大戶投,永豐台中分行,
2026-05-12 00:00:00,Buy,2327.TW,國巨,12,416.50,"4,998.00",7.00,,"5,005.00",永豐大戶投,永豐台中分行,
2026-05-12 00:00:00,Sell,3653.TW,健策,1,"3,890.00","3,890.00",5.00,11.00,"3,874.00",永豐大戶投,永豐台中分行,
2026-05-12 00:00:00,Buy,2467.TW,志聖,5,635.00,"3,175.00",5.00,,"3,180.00",永豐大戶投,永豐台中分行,
2026-05-12 00:00:00,Sell,7722.TW,LINE PAY,6,271.50,"1,629.00",2.00,4.00,"1,623.00",永豐大戶投,永豐台中分行,
2026-05-11 00:00:00,Buy,8027.TWO,鈦昇,25,212.00,"5,300.00",7.00,,"5,307.00",永豐大戶投,永豐台中分行,
2026-05-11 00:00:00,Buy,2492.TW,華新科,30,170.50,"5,115.00",7.00,,"5,122.00",永豐大戶投,永豐台中分行,
2026-05-11 00:00:00,Sell,6187.TWO,萬潤,4,"1,135.00","4,540.00",6.00,13.00,"4,521.00",永豐大戶投,永豐台中分行,
2026-05-11 00:00:00,Sell,6442.TW,光聖,2,"1,915.00","3,830.00",5.00,11.00,"3,814.00",永豐大戶投,永豐台中分行,
2026-05-11 00:00:00,Sell,6442.TW,光聖,2,"1,915.00","3,830.00",5.00,11.00,"3,814.00",永豐大戶投,永豐台中分行,
2026-05-11 00:00:00,Buy,TAO22974-USD,TAO,0.00995548,USD 321.43,USD 3.20,,,USD 3.20,Binance,Binance,
2026-05-08 00:00:00,Buy,2327.TW,國巨,10,396.00,"3,960.00",5.00,,"3,965.00",永豐大戶投,永豐台中分行,
2026-05-08 00:00:00,Buy,2327.TW,國巨,10,391.50,"3,915.00",5.00,,"3,920.00",永豐大戶投,永豐台中分行,
2026-05-08 00:00:00,Buy,2327.TW,國巨,5,389.00,"1,945.00",2.00,,"1,947.00",永豐大戶投,永豐台中分行,
2026-05-08 00:00:00,Buy,2327.TW,國巨,5,388.50,"1,942.50",2.00,,"1,944.50",永豐大戶投,永豐台中分行,
2026-05-07 00:00:00,Sell,3081.TWO,聯亞,3,"2,505.00","7,515.00",10.00,22.00,"7,483.00",永豐大戶投,永豐台中分行,
2026-05-07 00:00:00,Sell,6187.TWO,萬潤,6,"1,170.00","7,020.00",10.00,21.00,"6,989.00",永豐大戶投,永豐台中分行,
2026-05-07 00:00:00,Buy,8299.TWO,群聯,2,"2,420.00","4,840.00",6.00,,"4,846.00",永豐大戶投,永豐台中分行,
2026-05-07 00:00:00,Buy,2327.TW,國巨,10,371.00,"3,710.00",5.00,,"3,715.00",永豐大戶投,永豐台中分行,
2026-05-07 00:00:00,Sell,6187.TWO,萬潤,3,"1,155.00","3,465.00",4.00,10.00,"3,451.00",永豐大戶投,永豐台中分行,
2026-05-07 00:00:00,Buy,5289.TWO,宜鼎,2,"1,570.00","3,140.00",4.00,,"3,144.00",永豐大戶投,永豐台中分行,
2026-05-07 00:00:00,Deposit,,,,,USD 158.00,,,USD 158.00,Binance,,
2026-05-06 00:00:00,Sell,6442.TW,光聖,5,"1,885.00","9,425.00",13.00,27.00,"9,385.00",永豐大戶投,永豐台中分行,
2026-05-06 00:00:00,Buy,8299.TWO,群聯,2,"2,305.00","4,610.00",6.00,,"4,616.00",永豐大戶投,永豐台中分行,
2026-05-06 00:00:00,Buy,8299.TWO,群聯,2,"2,305.00","4,610.00",6.00,,"4,616.00",永豐大戶投,永豐台中分行,
2026-05-06 00:00:00,Buy,5289.TWO,宜鼎,3,"1,495.00","4,485.00",6.00,,"4,491.00",永豐大戶投,永豐台中分行,
2026-05-06 00:00:00,Dividend,SHY,SHY,24,,USD 5.83,USD 1.75,,USD 4.08,Firstrade,,
2026-05-05 00:00:00,Sell,2467.TW,志聖,20,584.00,"11,680.00",16.00,35.00,"11,629.00",永豐大戶投,永豐台中分行,
2026-05-05 00:00:00,Buy,2327.TW,國巨,15,355.50,"5,332.50",7.00,,"5,339.50",永豐大戶投,永豐台中分行,
2026-05-05 00:00:00,Sell,8027.TWO,鈦昇,25,201.50,"5,037.50",7.00,15.00,"5,015.50",永豐大戶投,永豐台中分行,
2026-05-05 00:00:00,Buy,8299.TWO,群聯,2,"2,120.00","4,240.00",6.00,,"4,246.00",永豐大戶投,永豐台中分行,
